"No","種別","種類","レベル","言語活動","カテゴリー","第1トピック","JF Can-do (日本語)","JF Can-do (English)"
"10","JF","活動","B1","産出","経験や物語を語る","言語と文化","Can narrate to a friend about events relating to or impressions of intercultural experiences.",""
"562","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の国や地域などのニュースについて、内容やその背景などを、ある程度詳しく友人に話すことができる。",""
"456","JF","まるごと","活動","A2","産出","経験や物語を語る","初めて会った人の前で自己紹介するとき、自分や家族がどこに住んでいるか、何をしているかなど、短い簡単な言葉で話すことができる。",""
"457","JF","まるごと","活動","A2","産出","経験や物語を語る","自分が使える外国語や、家族や友人とどんな言語を使っているかなどについて、短い簡単な言葉で友人に話すことができる。",""
"458","JF","まるごと","活動","A2","産出","経験や物語を語る","初めて会った人の前で自己紹介するとき、自分の名前の意味や由来などについて、短い簡単な言葉で説明することができる。",""
"459","JF","まるごと","活動","A2","産出","経験や物語を語る","初めて会った人の前で自己紹介するとき、自分の趣味や最近経験したことなどについて、短い簡単な言葉で語ることができる。",""
"11","JF","活動","A2","産出","経験や物語を語る","自由時間と娯楽","Can explain in short simple terms the characteristics of a familiar game, such as a sport, to a friend while indicating with gestures and illustrations.",""
"460","JF","まるごと","活動","A2","産出","経験や物語を語る","友人に博物館や美術館などを案内するとき、自国語による解説を見ることができれば、展示品の簡単な歴史などを短い簡単な言葉で紹介することができる。",""
"19","JF","まるごと","活動","A2","産出","経験や物語を語る","子供時代の習い事や学校生活などについて、短い簡単な言葉で友人に話すことができる。",""
"461","JF","まるごと","活動","A2","産出","経験や物語を語る","好きなアイドルや有名な人について、好きになったきっかけや、好きなところなどを短い簡単な言葉で友人に語ることができる。",""
"462","JF","まるごと","活動","A2","産出","経験や物語を語る","趣味やスポーツなど、新しいことを始めたきっかけや、それを始めてからできるようになったことなどについて、短い簡単な言葉で友人に語ることができる。",""
"12","JF","活動","A2","産出","経験や物語を語る","仕事と職業","Can introduce in short simple terms the various departments, facilities, etc. when giving a guest a tour of one's company, for example.",""
"463","JF","まるごと","活動","A2","産出","経験や物語を語る","職場への出張者をホテルの部屋に案内したとき、「かぎ、大丈夫です」「お湯はでます」など、設備について、短い簡単な言葉で説明することができる。",""
"464","JF","まるごと","活動","A2","産出","経験や物語を語る","来客に自分の会社などを案内するとき、各部署や施設、スタッフなどを短い簡単な言葉で紹介することができる。",""
"13","JF","まるごと","活動","A2","産出","経験や物語を語る","お土産を渡しながら、休み中に行った場所や出来事などについて、短い簡単な言葉で友人に語ることができる。",""
"14","JF","まるごと","活動","A2","産出","経験や物語を語る","友人に自分の出身地など、よく知っている町を案内するとき、名所や名物などを短い簡単な言葉で紹介することができる。",""
"465","JF","まるごと","活動","A2","産出","経験や物語を語る","旅行やツアーに参加した後で、どんなことをしたのか、何を見たのかなど、感想とともに短い簡単な言葉で友人に語ることができる。",""
"15","JF","まるごと","活動","A2","産出","経験や物語を語る","朝のジョギングなど、自分の健康法について、短い簡単な言葉で友人に話すことができる。",""
"16","JF","活動","A2","産出","経験や物語を語る","買い物","Can talk in short simple terms to a friend about something one just bought, such as an electronic dictionary.",""
"17","JF","活動","A2","産出","経験や物語を語る","食生活","Can explain in short simple terms a recipe, for example, to a friend while indicating with gestures and illustrations.",""
"466","JF","まるごと","活動","A2","産出","経験や物語を語る","レストランなどで、友人と食事をするとき、自分の食べられないものと、その理由を短い簡単な言葉で話すことができる。",""
"18","JF","まるごと","活動","A2","産出","経験や物語を語る","交際相手に家族を紹介するとき、家族の仕事や趣味などについて、短い簡単な言葉で話すことができる。",""
"20","JF","活動","A2","産出","経験や物語を語る","言語と文化","Can talk in short simple terms to a friend about events relating to intercultural experiences.",""
"467","JF","まるごと","活動","A2","産出","経験や物語を語る","外国語の学習経験について、いつどんな言葉を勉強したことがあるかなど、短い簡単な言葉で友人に語ることができる。",""
"468","JF","まるごと","活動","A2","産出","経験や物語を語る","外国語の学習などについて、いつどんなことをしたいか、具体的に計画していることを、短い簡単な言葉で友人に語ることができる。",""
"21","JF","活動","A1","産出","経験や物語を語る","自分と家族","Can tell a friend who is in the photo, where it was taken, etc. while showing the friend photos of family members and pets.",""
"22","JF","まるごと","活動","A1","産出","経験や物語を語る","日本語の最初の授業など、初めて会う人のグループの中で自己紹介するとき、自分の家族の人数と構成を、簡単な言葉で言うことができる。",""
"23","JF","まるごと","活動","A1","産出","経験や物語を語る","友人に家の中を案内するとき、実際に部屋を見せながら、何の部屋か、だれの部屋か言うことができる。",""
"24","JF","まるごと","活動","A1","産出","経験や物語を語る","友人を自宅に誘うとき、「私の家はアパートです」「明るいです」など、簡単な言葉で自分の家を紹介することができる。",""
"25","JF","まるごと","活動","A1","産出","経験や物語を語る","友人に自分の家を説明するとき、「部屋が一つあります」「テレビはありません」など、簡単な言葉で言うことができる。",""
"26","JF","まるごと","活動","A1","産出","経験や物語を語る","一日の生活について、何時に何をするか、簡単な言葉で友人に言うことができる。",""
"27","JF","活動","A1","産出","経験や物語を語る","食生活","Can introduce in short terms such as ""it is fish"" ""it is hot"" to a friend the flavor and ingredients of a dish one cooked.",""
"28","JF","活動","B2","産出","論述する","仕事と職業","Can articulate one's point of view to a friend who is unsure of whether to change jobs or stay with his/her present job, while stating the advantages and disadvantages and their reasoning for both choices.",""
"29","JF","活動","B2","産出","論述する","買い物","Can introduce a friend to a direct-from-the-farm or a fair trade store, for example, and articulate one's point of view about the distribution system, the significance of buying products from such stores, etc.",""
"30","JF","活動","B2","産出","論述する","社会","Can articulate to a coworker one's point of view about a social issue such as trade liberalization while making connections to its impact on the company or industry, for example, triggered by television news or a newspaper article.",""
"31","JF","活動","B2","産出","論述する","社会","Can articulate to a friend one's point of view about a social issue such as the citizen judge system while making connections to related matters such as the debates over abolishment of the death penalty, revision of the juvenile law, etc., triggered by a television news or a newspaper article.",""
"32","JF","活動","B1","産出","論述する","自由時間と娯楽","Can explain, giving simple reasons, to a friend about the identity of the criminal and his/her motive one speculated from what one had read or seen so far in a mystery novel or a drama.",""
"33","JF","活動","B1","産出","論述する","学校と教育","Can express one's opinion, giving simple explanations and reasons, in a discussion during an university seminar.",""
"34","JF","活動","B1","産出","論述する","社会","Can express one's opinion, giving simple explanations and reasons, to a friend about policies closely related to one's daily life such as an increase in taxes.",""
"35","JF","まるごと","活動","B1","産出","論述する","携帯電話など、自分の興味のある機器について、機能や生活にどのように役立つかなどを友人に説明することができる。",""
"36","JF","活動","B2","産出","公共アナウンスをする","仕事と職業","Can clearly, fluently, and quite naturally make announcements such as precautions or emergency announcements aboard a passenger plane, ship, or other such workplace.",""
"37","JF","活動","B2","産出","公共アナウンスをする","仕事と職業","Can clearly, fluently, and quite naturally make announcements at the venune of an expo, trade fair, or other events, introducing for example the exhibition inside the pavilion one is in charge of or precautions for inside the hall.",""
"38","JF","活動","B1","産出","公共アナウンスをする","仕事と職業","Can make listener-friendly announcements, such as one paging a customer, about a lost child, etc. at a department store or any other workplace, if one has practiced.",""
"39","JF","活動","B1","産出","公共アナウンスをする","仕事と職業","Can make listener-friendly announcements, such as those during a fire drill at one's workplace, if one has practiced.",""
"40","JF","活動","A2","産出","公共アナウンスをする","仕事と職業","Can make short simple announcements, such as one about the closing time, special events, etc. at a department store or any other workplace, if one is allowed to occasionally look at the script.",""
"41","JF","活動","A2","産出","公共アナウンスをする","仕事と職業","Can make short simple announcements, such as those during a fire drill at one's workplace, if one is allowed to occasionally look at the script.",""
"469","JF","まるごと","活動","A2","産出","公共アナウンスをする","イベント会場などで、台本をときどき見ることができれば、会場内の注意事項や禁止事項などの短い簡単なアナウンスをすることができる。",""
"42","JF","活動","B2","産出","講演やプレゼンテーションをする","仕事と職業","Can explain articulately and in detail one's company's current conditions, recruitment details, etc. and respond appropriately to questions from participants at an event such as a joint job fair for recruiting new personnel, if one has prepared beforehand.",""
"43","JF","活動","B2","産出","講演やプレゼンテーションをする","仕事と職業","Can explain articulately and in detail one's own proposal and respond appropriately to questions, while showing diagrams, graphs, etc., at, for example, a planning meeting at one's workplace, if one has prepared beforehand.",""
"44","JF","活動","B2","産出","講演やプレゼンテーションをする","学校と教育","Can explain articulately and in detail the content of one's research while showing data, etc., and respond flexibly even to questions that stray from the topic of the presentation at an academic conference, for example, if one has prepared beforehand.",""
"45","JF","まるごと","活動","B1","産出","講演やプレゼンテーションをする","ガイドとして有名な観光地などを案内するとき、あらかじめ準備してあれば、名所や名物などを、ある程度詳しく紹介し、想定した質問に対応することができる。",""
"46","JF","活動","B1","産出","講演やプレゼンテーションをする","仕事と職業","Can introduce in some detail electronic dictionaries or other products to a customer at an electronics store or any other workplace, and respond to anticipated questions about the products, if preparations are made in advance.",""
"563","JF","まるごと","活動","B1","産出","講演やプレゼンテーションをする","いろいろな国の人の集まりなどで、あらかじめ準備してあれば、自分の国の健康法について、まとまりのある簡単なプレゼンテーションをし、想定した質問に対応することができる。",""
"47","JF","活動","B1","産出","講演やプレゼンテーションをする","自然と環境","Can make a well-organized, simple presentation about, for example, environmental issues in one's country, and respond to anticipated questions in an international gathering or other events, if one has prepared beforehand.",""
"48","JF","活動","B1","産出","講演やプレゼンテーションをする","人との関係","Can make a well-organized, simple speech including episodes describing the bride and groom's character at a friend's wedding party or other events, if one has prepared beforehand.",""
"533","JF","まるごと","活動","B1","産出","講演やプレゼンテーションをする","勉強会や授業などで、あらかじめ準備してあれば、「留学生の悩み」など身近な話題についてのアンケート調査の結果や感想などを含んだ、まとまりのある簡単な発表をし、想定した質問に対応することができる。",""
"49","JF","活動","B1","産出","講演やプレゼンテーションをする","学校と教育","Can introduce in some detail to the audience the speaker's character, background, etc. at a lecture, for example, if preparations are made in advance.",""
"50","JF","活動","B1","産出","講演やプレゼンテーションをする","言語と文化","Can give a simple well-organized presentation describing one's country, town, etc. to a group of people that is studying about one's country, and deal with anticipated questions, if preparations are made in advance.",""
"51","JF","活動","B1","産出","講演やプレゼンテーションをする","言語と文化","Can make a well-organized, simple speech at a speech contest, for example, including episodes relating to or impressions of intercultural experiences, if one has prepared beforehand.",""
"470","JF","まるごと","活動","A2","産出","講演やプレゼンテーションをする","自分の国について学ぶ集まりなどで、メモをときどき見ることができれば、自分の国の有名な人について、なぜ有名なのか、何をした人なのかなどについて、短い簡単なプレゼンテーションをすることができる。",""
"54","JF","まるごと","活動","A2","産出","講演やプレゼンテーションをする","友人の結婚パーティーなどで、メモをときどき見ることができれば、お祝いの言葉や新郎新婦との関係などについて、短い簡単なスピーチをすることができる。",""
"52","JF","活動","A2","産出","講演やプレゼンテーションをする","仕事と職業","Can introduce in short simple terms the characteristics of a product and how to use it, etc., when giving a sales demonstration at, for example, a supermarket.",""
"471","JF","まるごと","活動","A2","産出","講演やプレゼンテーションをする","勉強会や授業などで、メモをときどき見ることができれば、クラスメートに対する生活習慣についてのアンケート結果を短い簡単な言葉で発表し、発表内容の事実確認などの簡単な質問に対応することができる。",""
"472","JF","まるごと","活動","A2","産出","講演やプレゼンテーションをする","自分の国について学ぶ集まりなどで、メモをときどきみることができれば、自分の国の有名な料理について、何に似ているか、どうやって食べるかなど、短い簡単なプレゼンテーションをすることができる。",""
"53","JF","活動","A2","産出","講演やプレゼンテーションをする","自然と環境","Can give a short simple presentation about, for example, environmental issues in one's country, and take simple questions such as those checking the facts, in an international gathering or other events, if one is allowed to occasionally look at one's notes.",""
"55","JF","まるごと","活動","A2","産出","講演やプレゼンテーションをする","自分の国について学ぶ集まりなどで、メモをときどき見ることができれば、自分の国や町の様子などについて、短い簡単なプレゼンテーションをすることができる。",""
"56","JF","活動","A2","産出","講演やプレゼンテーションをする","言語と文化","Can make a short simple speech at a speech contest, for example, about topics such as intercultural experiences, if one is allowed to occasionally look at one's notes.",""
"57","JF","活動","A1","産出","講演やプレゼンテーションをする","生活と人生","Can say words of gratitude with simple fixed phrases such as ""thank you for your kindness"" in front of those present at one's farewell party held before one's transfer, retirement, etc.",""
"58","JF","活動","A1","産出","講演やプレゼンテーションをする","仕事と職業","Can call out product names, prices, etc. at the storefront of, for example, a souvenir shop where one works, in order to get the attention of people passing by.",""
"59","JF","活動","A1","産出","講演やプレゼンテーションをする","人との関係","Can make a toast or wrap up the party with short, simple fixed phrases one had memorized at occasions such as a party at one's workplace or school for a job well done.",""
"60","JF","活動","A1","産出","講演やプレゼンテーションをする","人との関係","Can read out short congratulatory words prepared beforehand, such as ""congratulations on your marriage"" ""I wish you much happiness"" in front of the guests at a friend's wedding party.",""
"61","JF","活動","B2","産出","作文を書く","自由時間と娯楽","Can write a scenario for a contemporary drama about a folk tale or another topic, describing clearly and in detail the development of the story, for a drama group one belongs to.",""
"62","JF","活動","B2","産出","作文を書く","仕事と職業","Can write a piece of writing promoting oneself clearly and in detail with specific stories that show how one can contribute to the company, on the ""entry sheet"" for a company one wants to work for.",""
"564","JF","まるごと","活動","B1","産出","作文を書く","SNSのグループやコミュニティに参加するときに、自分の興味や希望などを含む自己紹介文を、ある程度詳しく書くことができる。",""
"565","JF","まるごと","活動","B1","産出","作文を書く","掲示板サイトなどに投稿された人間関係や進路などの相談に対して、ある程度詳しくコメントを書くことができる。",""
"63","JF","活動","B1","産出","作文を書く","自由時間と娯楽","Can write in some detail a piece for a homepage, for example, a text introducing the activities of a group one is involved in.",""
"566","JF","まるごと","活動","B1","産出","作文を書く","職場などで開催するイベントについて、内容や見どころなどを、ある程度詳しくポスターやチラシなどに書くことができる。",""
"64","JF","活動","B1","産出","作文を書く","仕事と職業","Can write a simple piece of writing promoting oneself, including one's strengths, weaknesses, etc. on a job application form.",""
"567","JF","まるごと","活動","B1","産出","作文を書く","自分が知っている健康法などの紹介文を、ある程度詳しくブログなどに書くことができる。",""
"568","JF","まるごと","活動","B1","産出","作文を書く","中古品の売買などを扱うコミュニティサイトなどで、欲しい商品の特徴や条件を詳しく書くことができる。",""
"65","JF","まるごと","活動","B1","産出","作文を書く","自分がよく知っている料理であれば、友人のために、レシピを、ある程度詳しく書くことができる。",""
"66","JF","まるごと","活動","B1","産出","作文を書く","異文化体験の出来事と感想を、ある程度詳しくブログなどに書くことができる。",""
"569","JF","まるごと","活動","B1","産出","作文を書く","自分の好きな詩や格言などの紹介文を、ある程度詳しくブログなどに書くことができる。",""
"570","JF","まるごと","活動","B1","産出","作文を書く","自分の関心のある身近なニュースについて、簡単な内容とコメントをSNSなどに書くことができる。",""
"67","JF","活動","A2","産出","作文を書く","自分と家族","Can write in short simple sentences a blog entry or a similar piece of writing introducing oneself with basic information such as family, jobs, hobbies, etc.",""
"68","JF","活動","A2","産出","作文を書く","自分と家族","Can write in short simple sentences a blog entry or a similar piece of writing introducing one's hometown.",""
"69","JF","活動","A2","産出","作文を書く","自由時間と娯楽","Can write in short simple sentences an advertisement to be posted on notice boards in schools, shops, etc. such as an ad looking for a new player for a sports team.",""
"70","JF","活動","A2","産出","作文を書く","自由時間と娯楽","Can write in short simple sentences a blog entry or a similar piece of writing about one's impressions of the facilities, lessons, etc. at the sports gym one goes to.",""
"473","JF","まるごと","活動","A2","産出","作文を書く","観光地においてあるノートに、その場所についての感想など、短い簡単なコメントを書くことができる。",""
"71","JF","活動","A2","産出","作文を書く","仕事と職業","Can write in short simple sentences a piece for an in-house newsletter, for example, introducing oneself with basic information such as family, jobs, hobbies, etc.",""
"72","JF","活動","A2","産出","作文を書く","買い物","Can write in short simple sentences a blog entry or a similar piece of writing about one's impressions of something one just bought, such as a digital camera.",""
"73","JF","活動","A2","産出","作文を書く","自然と環境","Can string together simple words to create a poem, haiku, slogan, etc., about nature or the environment.",""
"74","JF","活動","A2","産出","作文を書く","人との関係","Can write in short simple sentences a blog entry or a similar piece of writing about one's impressions of, for example, a friend's wedding.",""
"75","JF","活動","A2","産出","作文を書く","言語と文化","Can write in short simple sentences a blog entry or a similar piece of writing about, for example, discoveries and mistakes that one made during a homestay.",""
"76","JF","まるごと","活動","A1","産出","作文を書く","どこへ行ったか、何をしたかなど、その日にしたことを短い簡単な文でブログに書くことができる。",""
"77","JF","活動","A1","産出","作文を書く","人との関係","Can write short congratulatory words such as ""congratulations on your marriage"" ""I wish you much happiness"" to read out at a friend's wedding party, if there are model sentences one can refer to.",""
"78","JF","活動","B2","産出","レポートや記事を書く","自由時間と娯楽","Can write clearly and in detail from one's own point of view about anime that one has recently watched, while comparing it to other works, for the online newsletter of, for example, an anime group one belongs to.",""
"79","JF","活動","B2","産出","レポートや記事を書く","自由時間と娯楽","Can write clearly and in detail from one's own point of view a review of a book that one has read, for the book review section of an online retail site, etc.",""
"80","JF","活動","B2","産出","レポートや記事を書く","仕事と職業","Can write a detailed business trip report about one's work during the trip, the outcome, etc., after a business trip.",""
"81","JF","活動","B2","産出","レポートや記事を書く","仕事と職業","Can write a concise draft proposal for hiring a part-time worker to, for example, summarize the results of consumer surveys, including the purpose, budget, and other points that clarify the need for such personnel.",""
"82","JF","活動","B2","産出","レポートや記事を書く","仕事と職業","Can write a clear report that includes analysis and discussion, based on, for example, a consumer survey.",""
"571","JF","まるごと","活動","B1","産出","レポートや記事を書く","最近自分が見た映画についての報告や感想を、ある程度詳しくレビューサイトなどに書き込むことができる。",""
"83","JF","活動","B1","産出","レポートや記事を書く","仕事と職業","Can write a short report of a business trip including, for example, the purpose and an overview of the trip.",""
"84","JF","活動","B1","産出","レポートや記事を書く","仕事と職業","Can write in some detail an article based on an interview introducing a new staff member's character, experience, etc. for an in-house newsletter or other media.",""
"85","JF","活動","B1","産出","レポートや記事を書く","旅行と交通","Can write in some detail a comment on a tourist website, for example, reporting facts about or one's impressions of the cities, hotels, restaurants, etc. one visited.",""
"86","JF","活動","B1","産出","レポートや記事を書く","買い物","Can write in some detail, for example, a comment on an online shopping website, reporting facts about or one's impressions of everyday items, foods, etc. one has bought.",""
"87","JF","活動","B1","産出","レポートや記事を書く","自然と環境","Can organize one's opinions and write, for example, a short, simple ""letter to the editor"" about current environmental issues, etc.",""
"88","JF","活動","B1","産出","レポートや記事を書く","学校と教育","Can write in some detail an article based on an interview introducing, for example, an after-school club or group's activities, for a newsletter or other media.",""
"89","JF","活動","B2","受容","講演やプレゼンテーションを聞く","旅行と交通","Can listen to detailed explanations by a guide at a sightseeing area about, for example, the features of buildings and historical transitions, and understand the main points.",""
"90","JF","活動","B2","受容","講演やプレゼンテーションを聞く","学校と教育","Can listen to a lecture or presentation during a seminar held by an academic society one belongs to, for example, while looking at slides, handouts, etc., and understand the main points.",""
"572","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人が愛用している日用品(台所用品や文房具など)について、ある程度詳しい話を聞いて、どのように使っているか、どこが気に入っているかなど、話の要点を理解することができる。",""
"573","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人のおすすめの音楽や映画、マンガなどについて、ある程度詳しい話を聞いて、特徴や魅力、すすめる理由など、話の要点を理解することができる。",""
"574","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人の身の回りのちょっとした出来事について、ある程度詳しい話を聞いて、出来事の内容や感想など、話の要点を理解することができる。",""
"575","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人の旅行の体験談を聞いて、出来事や感想、気に入った場所や食べ物など、話の要点を理解することができる。",""
"91","JF","活動","B1","受容","講演やプレゼンテーションを聞く","旅行と交通","Can listen to simple explanations about famous sights, local specialties and other features by a tour guide and understand the main pieces of information, if the pronunciation is clear and the content is well-articulated.",""
"576","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人が普段行っている運動や健康法などについて、ある程度詳しい話を聞いて、特徴や効果など、話の要点を理解することができる。",""
"577","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人のおすすめのレストランについて、ある程度詳しい話を聞いて、味や値段、すすめる理由など、話の要点を理解することができる。",""
"92","JF","活動","B1","受容","講演やプレゼンテーションを聞く","食生活","Can listen to simple lectures about eating habits, nuturitional balance, and other issues in dietary education, and understand the main pieces of information, if the pronunciation is clear and the content is well-articulated.",""
"578","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、日本語交流サークルなどで、プロフィールや趣味、希望や抱負などを含んだある程度詳しい自己紹介を聞いて、要点を理解することができる。",""
"579","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人の家族(親やパートナーなど)について、ある程度詳しい話を聞いて、どんな人か、友人がその人をどう思っているかなど、話の要点を理解することができる。",""
"93","JF","活動","B1","受容","講演やプレゼンテーションを聞く","学校と教育","Can listen to simple presentations about people's specialties at a university seminar, for example, and understand the main pieces of information, if the pronunciation is clear and the content is well-articulated.",""
"580","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、友人の異文化体験について、ある程度詳しい話を聞いて、どんな経験をしたか、それに対して友人がどう思っているかなど、話の要点を理解することができる。",""
"581","JF","まるごと","活動","B1","受容","講演やプレゼンテーションを聞く","発音がはっきりしていれば、歴史上の人物など、友人の関心のある有名な人について、ある程度詳しい話を聞いて、どんな人か、何をしたか、具体的なエピソードなど、話の要点を理解することができる。",""
"94","JF","活動","B2","受容","指示やアナウンスを聞く","住まいと住環境","Can listen to and understand local PR announcements through an outdoor speaker, such as as fire announcements and requests for cooperation in searching for missing persons.",""
"95","JF","活動","B2","受容","指示やアナウンスを聞く","自由時間と娯楽","Can listen to detailed explanations by an audio guide that plays in front of an exhibited display at an art gallery, museum, etc. and understand the main points.",""
"96","JF","活動","B2","受容","指示やアナウンスを聞く","仕事と職業","Can listen to and understand detailed explanations and instructions about complicated work procedures and points of note from a coworker at the department one has transferred to.",""
"97","JF","活動","B1","受容","指示やアナウンスを聞く","自由時間と娯楽","Can listen to and understand explanations and directions from a staff member about using the facilities, taking classes, etc. at a sports gym or other facilities, if the pronunciation is clear.",""
"98","JF","活動","B1","受容","指示やアナウンスを聞く","旅行と交通","Can listen to and understand announcements about accidents, natural disasters, and other emergencies at a train station, inside a train, etc., if the pronunciation is clear.",""
"99","JF","活動","B1","受容","指示やアナウンスを聞く","言語と文化","Can listen to and understand explanations from one's host family about aspects of daily life such as the proper use of slippers in a Japanese home, if the pronunciation is clear.",""
"100","JF","活動","A2","受容","指示やアナウンスを聞く","自由時間と娯楽","Can listen to and understand simple directions from an instructor about, for example, using training machines, at a sports gym or other facilities.",""
"101","JF","活動","A2","受容","指示やアナウンスを聞く","旅行と交通","Can listen to and understand simple announcements about train arrivals and departures, train transfer information, etc. at a train station, inside a train, and at other places.",""
"102","JF","活動","A2","受容","指示やアナウンスを聞く","買い物","Can listen to and understand simple in-store announcements at, for example, a department store, about closing time, special events, etc.",""
"103","JF","活動","A2","受容","指示やアナウンスを聞く","学校と教育","Can listen to and understand simple announcements about dismissal time, a page, etc. at, for example, a school.",""
"104","JF","活動","A2","受容","指示やアナウンスを聞く","言語と文化","Can listen to and get a general idea of simple explanations about how to use the bathroom or the bathtub, for example, while actually being shown how by one's host family.",""
"105","JF","活動","A1","受容","指示やアナウンスを聞く","健康","Can listen to and understand very simple instructions from the doctor, such as ""get some rest"" ""take the medicine three times a day,"" if the speech is aimed directly at oneself and is slow and clear.",""
"106","JF","活動","A1","受容","指示やアナウンスを聞く","自然と環境","Can listen to and understand very simple instructions from the team leader when participating in a volunteer project to pick up garbage on a beach, if the leader demonstrates and talks slowly and clearly.",""
"107","JF","活動","A1","受容","指示やアナウンスを聞く","学校と教育","Can listen to and understand very simple announcements by the teacher about a cancelled class or a classroom change, if the speech is slow and clear.",""
"108","JF","活動","A1","受容","指示やアナウンスを聞く","学校と教育","Can listen to and understand very simple classroom instructions from the teacher such as ""open your textbook"" ""read aloud"" if the speech is slow and clear.",""
"109","JF","活動","A1","受容","指示やアナウンスを聞く","言語と文化","Can listen to and understand very simple instructions from the host family about house rules, such as where to sit at the table and where to put the laundry, if the host family points out places and things and talks slowly and clearly.",""
"110","JF","活動","A1","受容","指示やアナウンスを聞く","言語と文化","Can listen to and understand very simple instructions from the teacher about basic actions such as ""eat the sweets"" ""drink the tea"" during a hands-on tea ceremony lesson, if one looks to what the other participants are doing for help and the teacher talks slowly and clearly.",""
"111","JF","活動","B2","受容","音声メディアを聞く","自由時間と娯楽","Can listen to interviews at, for example, a shopping area, on the radio and understand differences in people's perspectives and the commentator's commnets about topics such as recent economic conditions and consumer trends.",""
"112","JF","活動","B2","受容","音声メディアを聞く","自由時間と娯楽","Can listen a radio drama about, for example, high school life, and understand the story's development, the emotions of the characters, etc.",""
"113","JF","活動","B1","受容","音声メディアを聞く","自由時間と娯楽","Can listen on the radio an introduction to a song and understand the main points such as its background and its CD sales, if the pronunciation is clear.",""
"114","JF","活動","B1","受容","音声メディアを聞く","自由時間と娯楽","Can listen on the radio about problems a listener has, such as relationship issues or difficulty making decisions in life, and understand the main points of the problem and those of the advice the listener receives, if the pronunciation is clear.",""
